ì˙ït,îÑè„ã‡äz,ëŒëOîNî‰ó¶
2024/1/1,21500,112
2024/1/2,18000,107
2024/1/3,15300,94
2024/1/4,17520,98
2024/1/5,19000,103
2024/1/6,22000,113
2024/1/7,21600,109
2024/1/8,17000,99
2024/1/9,15000,94
2024/1/10,17900,98
2024/1/11,20700,102
2024/1/12,18000,100
2024/1/13,15200,93
2024/1/14,16200,95
2024/1/15,18000,104
2024/1/16,21500,110
2024/1/17,19400,105
2024/1/18,20340,106
2024/1/19,17000,99
2024/1/20,21000,111
2024/1/21,23000,112
2024/1/22,18900,97
2024/1/23,17300,95
2024/1/24,19000,100
2024/1/25,21000,102
2024/1/26,15300,95
2024/1/27,16200,98
2024/1/28,17300,99
2024/1/29,23000,106
2024/1/30,18000,100
2024/1/31,20000,104
