売上日,担当者,商品分類,商品名,売上金額
2020/1/4,太郎,大型家電,冷蔵庫,48000
2020/1/5,次郎,小型家電,掃除機,18000
2020/1/5,花子,周辺機器,モニター,70000
2020/1/6,姫子,小型家電,レンジ,40000
2020/1/7,次郎,周辺機器,プリンタ,8000
2020/1/9,花子,大型家電,洗濯機,60000
2020/1/10,太郎,周辺機器,モニター,35000
2020/1/19,姫子,大型家電,冷蔵庫,60000
2020/1/20,太郎,小型家電,掃除機,60000
2020/1/21,姫子,大型家電,冷蔵庫,70000
2020/1/22,次郎,小型家電,掃除機,36000
2020/2/2,花子,周辺機器,モニター,10000
2020/2/3,姫子,小型家電,レンジ,80000
2020/2/3,次郎,周辺機器,プリンタ,49000
2020/2/7,太郎,大型家電,洗濯機,30000
2020/2/10,花子,周辺機器,モニター,60000
2020/2/13,太郎,大型家電,冷蔵庫,32000
2020/2/18,花子,小型家電,掃除機,49000
2020/2/18,次郎,大型家電,冷蔵庫,48000
2020/2/19,次郎,小型家電,掃除機,40000
2020/2/22,太郎,周辺機器,モニター,48000
2020/2/25,次郎,小型家電,レンジ,49000
2020/3/2,花子,周辺機器,プリンタ,6000
2020/3/12,姫子,大型家電,洗濯機,90000
2020/3/13,次郎,周辺機器,モニター,16000
2020/3/14,花子,大型家電,冷蔵庫,56000
2020/3/15,太郎,小型家電,掃除機,30000
2020/3/16,姫子,大型家電,冷蔵庫,20000
2020/3/17,花子,小型家電,掃除機,40000
2020/3/18,姫子,周辺機器,モニター,42000
2020/3/19,次郎,小型家電,レンジ,40000
2020/3/20,太郎,周辺機器,プリンタ,100000
2020/3/21,姫子,大型家電,洗濯機,64000
2020/4/3,次郎,周辺機器,モニター,14000
2020/4/4,太郎,大型家電,冷蔵庫,60000
2020/4/9,花子,小型家電,掃除機,20000
2020/4/9,太郎,大型家電,冷蔵庫,40000
2020/4/11,花子,小型家電,掃除機,49000
2020/4/14,姫子,周辺機器,モニター,48000
2020/4/15,次郎,小型家電,レンジ,50000
2020/4/18,太郎,周辺機器,プリンタ,56000
2020/4/18,次郎,大型家電,洗濯機,24000
2020/4/19,花子,周辺機器,モニター,100000
2020/4/20,次郎,大型家電,冷蔵庫,40000
2020/5/6,次郎,小型家電,掃除機,56000
2020/5/12,花子,大型家電,冷蔵庫,54000
2020/5/13,太郎,小型家電,掃除機,56000
2020/5/14,姫子,周辺機器,モニター,10000
2020/5/15,次郎,小型家電,レンジ,40000
2020/5/20,姫子,周辺機器,プリンタ,49000
2020/5/22,花子,大型家電,洗濯機,48000
2020/5/24,太郎,周辺機器,モニター,20000
2020/5/24,太郎,大型家電,冷蔵庫,48000
2020/5/24,次郎,小型家電,掃除機,70000
2020/5/25,花子,大型家電,冷蔵庫,48000
2020/6/3,姫子,小型家電,掃除機,90000
2020/6/8,次郎,周辺機器,モニター,8000
2020/6/10,花子,小型家電,レンジ,49000
2020/6/11,太郎,周辺機器,プリンタ,6000
2020/6/18,姫子,大型家電,洗濯機,50000
2020/6/19,花子,周辺機器,モニター,8000
2020/6/20,次郎,大型家電,冷蔵庫,48000
2020/6/21,次郎,小型家電,掃除機,80000
2020/6/22,太郎,大型家電,冷蔵庫,10000
2020/6/23,姫子,小型家電,掃除機,64000
2020/6/24,次郎,周辺機器,モニター,30000
2020/7/4,太郎,小型家電,レンジ,21000
2020/7/10,花子,周辺機器,プリンタ,30000
2020/7/11,太郎,大型家電,洗濯機,90000
2020/7/13,姫子,周辺機器,モニター,49000
2020/7/13,花子,大型家電,冷蔵庫,48000
2020/7/14,次郎,小型家電,掃除機,10000
2020/7/14,太郎,大型家電,冷蔵庫,24000
2020/7/16,次郎,小型家電,掃除機,56000
